rank|name|revenue|industry|employees|founded|growth|city|state
4045|The Gents Place|4.0|Consumer Products & Services|61.0|2008.0|69|San Antonio|TX
4046|Motivate Design|2.8|Business Products & Services|22.0|2009.0|69|New York City|NY
4047|Clinical Resources|14.3|Health|21.0|2007.0|69|Atlanta|GA
4048|TouchSource|6.8|Business Products & Services|28.0|2001.0|69|Lafayette|CO
4049|Evidon|20.5|Software|59.0|2009.0|69|New York City|NY
4050|JMARK Business Solutions|16.7|IT Services|120.0|1988.0|69|Springfield|MO
4051|Midwest Prototyping|5.7|Manufacturing|30.0|2001.0|69|Blue Mounds|WI
4052|Sovereign Systems|84.9|IT Services|44.0|2007.0|69|Norcross|GA
4053|treetree|4.0|Advertising & Marketing||2009.0|69|Columbus|OH
4054|Heartland Dental|1124.6|Business Products & Services|9452.0|1997.0|69|Effingham|IL
4055|ClearShark|161.7|IT Services|54.0|2001.0|69|Hanover|MD
4056|ScholarBuys|18.4|Education|11.0|2008.0|69|Carpentersville|IL
4057|Ammex|102.8|Manufacturing|568.0|1988.0|69|Kent|WA
4058|Primitives by Kathy|54.7|Consumer Products & Services|127.0|1997.0|69|Lancaster|PA
4059|Airosmith Development|7.8|Telecommunications|39.0|2004.0|69|Saratoga Springs|NY
4060|CloudSmartz|5.9|IT Services|75.0|2012.0|68|Rochester|NY
4061|Droisys|18.5|IT Services|178.0|2003.0|68|Santa Clara|CA
4062|Ticket Alternative|21.5|Consumer Products & Services|38.0|2004.0|68|Atlanta|GA
4063|Watters International Realty|3.3|Real Estate|25.0|2010.0|68|Austin|TX
4064|Concorde Holdings|26.6|Financial Services|27.0|2010.0|68|Livonia|MI
4065|Triple E Partners|4.5|Business Products & Services|53.0|2010.0|68|Cincinnati|OH
4066|HealthCare Scouts|18.3|Health|80.0|2005.0|68|Winter Park|FL
4067|eClinicalWorks|444.0|Health|4716.0|1999.0|68|Westborough|MA
4068|O2 Fitness Clubs|29.6|Health|1170.0|2002.0|68|Raleigh|NC
4069|Professional Consulting|4.6|IT Services|23.0|2004.0|68|Edina|MN
4070|Jonathan's Grille|15.1|Food & Beverage|350.0|1999.0|68|Franklin|TN
4071|xFact|7.5|Government Services|21.0|2000.0|68|North Andover|MA
4072|Computer Solutions Group|3.0|IT Services|20.0|1996.0|68|Los Angeles|CA
4073|Pacific Dental Services|1046.6|Health|7939.0|1994.0|68|Irvine|CA
4074|Leading EDJE|6.4|IT Services|46.0|2007.0|68|Columbus|OH
4075|Emergenetics International|6.8|Business Products & Services|36.0|1985.0|68|Centennial|CO
4076|Safe Hiring Solutions|3.2|Security|32.0|2004.0|68|Danville|IN
4077|Patriot Aluminum Products|17.7|Manufacturing|62.0|2010.0|68|Louisa|VA
4078|Premier Graphics|13.1|Business Products & Services|70.0|2001.0|68|Stratford|CT
4079|Lakes Area GraphiX and SignWorX|6.1|Advertising & Marketing|52.0|2001.0|68|Farwell|MN
4080|Green Key Resources|102.6|Human Resources|236.0|2004.0|68|New York City|NY
4081|Haley Marketing Group|5.4|Human Resources|40.0|1996.0|68|Williamsville|NY
4082|Winxnet|16.9|IT Services|84.0|1999.0|68|Portland|ME
4083|Peacock Real Estate|20.3|Real Estate|12.0|2011.0|68|Morley|MI
4084|MATRIX 4|2.6|Manufacturing|40.0|1976.0|68|Woodstock|IL
4085|Intercambio Express|37.9|Financial Services|88.0|1998.0|68|Elkhart|IN
4086|MyNewCompany.com|2.1|Business Products & Services|9.0|2001.0|68|Las Vegas|NV
4087|Pinnacle Mountain Homes|23.6|Construction|33.0|2005.0|68|Breckenridge|CO
4088|SmartWatt|82.1|Energy|258.0|2002.0|68|Ballston Lake|NY
4089|Rentex Audio Visual & Computer Rentals|37.7|Computer Hardware|190.0|1980.0|67|Canton|MA
4090|Creative Sign Designs|17.5|Manufacturing|117.0|1986.0|67|Tampa|FL
4091|The Royster Group|14.7|Human Resources|67.0|2001.0|67|Atlanta|GA
4092|Ursa Group|2.6|Security|3.0|2009.0|67|Birmingham|AL
4093|DKW Communications|22.8|IT Services|200.0|2001.0|67|Washington|DC
4094|Synechron|303.4|IT Services|7000.0|2001.0|67|New York City|NY
4095|Sullivan Solar Power|46.7|Energy|293.0|2004.0|67|San Diego|CA
4096|Honey-Can-Do International|64.6|Consumer Products & Services|120.0|2007.0|67|Berkeley|IL
4097|geoAMPS|4.1|Software|56.0|2011.0|67|Powell|OH
4098|Xcentric|15.2|IT Services|104.0|2002.0|67|Alpharetta|GA
4099|Billtrust|102.6|Financial Services|380.0|2001.0|67|Hamilton|NJ
4100|The Rainmaker Group|46.8|Software|225.0|1998.0|67|Alpharetta|GA
4101|C1S Group|18.4|Engineering|28.0|2001.0|67|Dallas|TX
4102|Industrial Strength Marketing|3.1|Advertising & Marketing|14.0|2005.0|67|Nashville|TN
4103|Altrua Global Solutions|13.3|Advertising & Marketing|57.0|1979.0|67|Tallahassee|FL
4104|Metro Printed Products, powered by Proforma|2.1|Business Products & Services|7.0|1989.0|67|Greenwood|IN
4105|The FruitGuys|30.8|Food & Beverage|135.0|1998.0|67|South San Francisco|CA
4106|Pacific Market International/PMI|260.5|Construction|807.0|1983.0|67|Seattle|WA
4107|The Great Game of Business|3.5|Business Products & Services|15.0|1990.0|67|Springfield|MO
4108|ivie & Associates|514.3|Advertising & Marketing|657.0|1993.0|67|Flower Mound|TX
4109|Capstone Consulting|8.7|IT Services|129.0|1999.0|66|Omaha|NE
